"group","indval","pvalue","freq","tf_bin"
"Palma",0.507808043730217,0.001,125,"X2774"
"Palma",0.507189382741155,0.001,128,"X2653"
"Palma",0.506595136209386,0.001,121,"X2908"
"Palma",0.506590884321964,0.001,102,"X74"
"Palma",0.50647165755929,0.001,113,"X2890"
"Palma",0.506458614445869,0.001,112,"X3012"
"Palma",0.506150746442848,0.001,96,"X325"
"Palma",0.504566582856115,0.001,126,"X2878"
"Palma",0.504456723376636,0.001,123,"X2634"
"Palma",0.504166334098445,0.001,110,"X75"
"Palma",0.503890561430109,0.001,115,"X2758"
"Palma",0.503424007351614,0.001,113,"X193"
"Palma",0.503106796654619,0.001,125,"X2779"
"Palma",0.502531949945312,0.001,111,"X94"
"Palma",0.502221116359881,0.001,121,"X2502"
"Palma",0.501296271961943,0.001,104,"X479"
"Palma",0.501293598722312,0.001,107,"X341"
"Palma",0.501206542352569,0.001,100,"X323"
"Palma",0.500959673094054,0.001,116,"X2632"
"Palma",0.500648948509195,0.001,126,"X2498"
"Palma",0.500270684889616,0.001,110,"X66"
"Palma",0.500122553675996,0.001,132,"X2652"
"Palma",0.499521743689001,0.001,120,"X2909"
"Palma",0.499490400142974,0.001,117,"X3018"
"Palma",0.499311523083024,0.001,119,"X2654"
"Palma",0.49925292945369,0.001,121,"X2764"
"Palma",0.498995310547551,0.002,117,"X2910"
"Palma",0.498970744323613,0.001,117,"X3031"
"Palma",0.498854651400669,0.001,119,"X3030"
"Palma",0.498248150252419,0.001,119,"X78"
"Palma",0.49797526772004,0.001,110,"X2757"
"Palma",0.497672767202854,0.001,106,"X474"
"Palma",0.496538356698029,0.001,114,"X2753"
"Palma",0.496507998297988,0.001,112,"X2884"
"Palma",0.496340574742402,0.001,103,"X324"
"Palma",0.496224751077486,0.001,114,"X3010"
"Palma",0.495963209832343,0.001,112,"X88"
"Palma",0.495510788284311,0.001,110,"X346"
"Palma",0.495462830279296,0.001,109,"X332"
"Palma",0.49511121712534,0.001,122,"X2655"
"Palma",0.494689677391298,0.001,122,"X3032"
"Palma",0.494319671110337,0.001,115,"X3020"
"Palma",0.494054950728673,0.001,117,"X2499"
"Palma",0.493706341246478,0.001,107,"X447"
"Palma",0.493617842027349,0.001,113,"X2911"
"Palma",0.493310431409326,0.001,118,"X91"
"Palma",0.492625068960562,0.001,120,"X3006"
"Palma",0.492609614639641,0.001,115,"X2762"
"Palma",0.492540868788389,0.001,108,"X347"
